accession,biosample,bioproject,studyId,dri_orcids
ERR15957609,ERS27941879,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957610,ERS27941885,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957611,ERS27941888,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957612,ERS27941886,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957613,ERS27941884,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957614,ERS27941888,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957615,ERS27941887,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957616,ERS27941889,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957617,ERS27941890,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957618,ERS27941891,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957619,ERS27941894,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957620,ERS27941892,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957621,ERS27941895,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957622,ERS27941895,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957623,ERS27941893,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957624,ERS27941896,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957625,ERS27941896,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957626,ERS27941898,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957627,ERS27941897,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957628,ERS27941898,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957629,ERS27941899,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957630,ERS27941900,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957631,ERS27941901,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957632,ERS27941903,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957633,ERS27941902,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957634,ERS27941903,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957635,ERS27941903,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957636,ERS27941904,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957637,ERS27941904,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957638,ERS27941905,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957639,ERS27941905,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957640,ERS27941906,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957641,ERS27941907,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957642,ERS27941908,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957643,ERS27941910,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957644,ERS27941909,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957645,ERS27941911,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957646,ERS27941911,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957647,ERS27941913,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957648,ERS27941912,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957649,ERS27941913,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15957650,ERS27941915,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
